A;T;S;R;H;F;Q;P;D;L;X;W;C;V
7.7;60;0.5;1.1;0.042;9;5;2.89;0.9915;10.6;0.14;0.48;0.4;0.26
6.8;67;0.47;1.2;0.044;14;4;3.05;0.9919;10.6;0.50;0.07;0.34;0.32
7;105;0.68;4.7;0.036;17;7;3.26;0.9916;12.4;0.13;0.71;0.49;0.3
7;112;0.38;2.8;0.034;22;8;3.19;0.99;12.6;0.17;0.62;0.36;0.24
6.1;114;0.6;5;0.039;36;8;3.3;0.9909;12.3;0.10;0.96;0.58;0.31
6.8;201;0.65;5.1;0.047;46;4;3.08;0.9938;10.5;0.50;0.52;0.37;0.44
6.7;196;0.49;15.6;0.054;51;5;3.19;0.9982;9.3;0.50;0.05;0.3;0.34
7.1;198;0.49;15.4;0.055;46;5;3.12;0.9988;8.8;1.00;0.62;0.24;0.35
7.3;180;0.47;7.2;0.056;47;5;3.08;0.9961;8.8;0.50;0.31;0.25;0.32
6.5;190;0.51;15.7;0.053;51;6;3.22;0.9978;9.7;0.20;0.17;0.33;0.28
7.2;192;0.48;14.2;0.058;49;7;2.98;0.9979;9;0.11;0.36;0.39;0.23
7.2;192;0.48;14.2;0.058;49;7;2.98;0.9979;9;0.13;0.37;0.39;0.23
7.2;192;0.48;14.2;0.058;49;7;2.98;0.9979;9;0.33;0.62;0.39;0.23
7.2;192;0.48;14.2;0.058;49;7;2.98;0.9979;9;0.10;0.46;0.39;0.23
5.9;155;0.46;5.8;0.041;53;6;3.52;0.9945;10.5;0.14;0.89;0.31;0.15
7.4;195;0.44;19.8;0.066;53;5;2.96;1;9.1;0.20;0.84;0.42;0.28
6.2;157;0.64;7.3;0.041;26;7;3.44;0.9957;9.8;1.00;0.57;0.22;0.28
9.1;182;0.38;1.6;0.066;34;3;3.23;0.9968;8.5;0.17;0.04;0.38;0.59
6.3;175;0.54;1.2;0.046;34;6;3.37;0.9934;9.4;0.10;0.47;0.27;0.33
8.3;169;0.57;10.6;0.045;33;5;3.09;0.9976;9.4;0.14;0.60;0.7;0.39
7.2;187;0.6;3.8;0.041;82;7;3.19;0.9932;11.2;0.50;0.48;0.46;0.19
7.5;146;0.45;11.3;0.046;65;6;3.17;0.997;10;0.11;0.91;0.44;0.17
6.7;122;0.45;2.1;0.043;27;6;3.15;0.9923;10.3;0.50;0.41;0.5;0.17
6.1;87;0.67;1.6;0.063;36;6;3.27;0.9914;10.8;0.17;0.98;0;0.41
8.3;74;0.38;0.9;0.05;12;6;3.13;0.992;10.5;1.00;0.91;0.35;0.2
6.1;87;0.67;1.6;0.063;36;6;3.27;0.9914;10.8;1.00;0.51;0;0.41
6;168;0.43;1.3;0.055;42;6;3.32;0.9914;11.1;0.20;0.99;0.21;0.29
7.3;163;0.41;6.8;0.057;41;6;3.2;0.9949;9.9;1.00;0.41;0.24;0.41
7.3;163;0.41;6.8;0.057;41;6;3.2;0.9949;9.9;0.25;0.81;0.24;0.41
7.2;163;0.41;6.7;0.058;40;5;3.2;0.995;9.9;0.33;0.85;0.24;0.43
7.3;166;0.41;6.7;0.058;41;6;3.2;0.995;9.9;0.10;0.62;0.24;0.4
6.2;134;0.42;4.9;0.036;30;7;3.2;0.9927;10.4;0.20;0.11;0.27;0.33
6.2;148;0.41;4.8;0.037;36;6;3.21;0.9928;10.4;0.13;0.47;0.26;0.31
6.1;100;0.71;2.1;0.035;16;7;3.4;0.9917;11.5;0.14;0.80;0.27;0.36
5;164;0.51;8.3;0.032;35;8;3.53;0.9918;12.5;0.17;0.08;0.14;0.55
7.8;149;0.45;3.7;0.042;37;6;3.36;0.9954;10;0.20;0.26;0.41;0.25
5.7;166;0.63;6.7;0.038;51;6;3.29;0.9941;10;0.20;0.38;0.21;0.36
5.8;167;0.62;6.6;0.04;50;5;3.29;0.9941;10;0.11;0.54;0.21;0.34
6.8;127;0.44;1.1;0.132;42;6;3.09;0.9934;9.1;1.00;0.70;0.6;0.28
6.8;134;0.38;4.7;0.031;34;6;3.21;0.9927;10.6;1.00;0.96;0.34;0.25
6.6;135;0.37;7.7;0.031;36;5;3.19;0.9938;10.5;0.17;0.10;0.35;0.24
5.9;133;0.43;7.85;0.03;19;7;3.52;0.9933;11.5;0.25;0.85;0.47;0.3
6.1;69;0.59;3.3;0.04;10;6;3.54;0.9934;10.1;0.25;0.72;0.25;0.125
6;65;0.61;1.1;0.041;15;7;3.61;0.9927;10.3;0.20;0.16;0.24;0.1
6.6;135;0.37;7.7;0.031;36;5;3.19;0.9938;10.5;0.33;0.48;0.35;0.24
6.8;134;0.38;4.7;0.031;34;6;3.21;0.9927;10.6;0.10;0.44;0.34;0.25
6.8;137;0.36;9.3;0.031;35;6;3.16;0.9946;10.4;0.17;0.61;0.44;0.28
8.3;207;0.55;2;0.046;11;5;3.02;0.993;11.4;0.14;0.73;0.51;0.41
7.5;313;0.59;5.8;0.057;131;5;3.18;0.9946;10.5;0.33;0.77;0.31;0.27
7.9;216;0.6;15.15;0.04;38;6;2.96;0.9976;10;0.17;0.66;0.41;0.26
6.4;143;0.65;6.3;0.039;37;6;3.19;0.9944;10;0.11;0.73;0.23;0.34
6.5;195;0.5;15.4;0.042;55;6;3.23;0.9978;9.6;0.10;0.86;0.35;0.28
7.2;85;0.51;1.3;0.036;33;5;3.17;0.992;10.4;0.11;0.03;0.41;0.21
6.4;101;0.6;4.8;0.03;34;8;3.36;0.9912;12.5;0.14;0.56;0.35;0.32
6.8;135;0.39;4.6;0.032;37;5;3.2;0.9927;10.6;1.00;0.99;0.34;0.24
6.3;91;0.4;1.8;0.033;16;6;3.28;0.9906;11.8;1.00;0.31;0.3;0.23
6.5;133;0.44;9.9;0.038;30;5;3.11;0.9954;9.8;0.14;0.67;0.34;0.28
5.6;80;0.38;5.7;0.031;12;5;3.25;0.9923;10.8;0.25;0.39;0.26;0.26
6.3;91;0.4;1.8;0.033;16;6;3.28;0.9906;11.8;0.17;0.73;0.3;0.23
6.3;105;0.42;1.5;0.036;15;6;3.32;0.991;11.2;0.50;0.89;0.33;0.23
5.8;170;0.42;12.3;0.045;55;6;3.28;0.9972;9.3;0.14;0.81;0.27;0.27
5.9;139;0.53;1.3;0.047;12;5;3.45;0.9945;10.4;0.14;0.34;0.4;0.26
6.6;141;0.85;1.5;0.049;49;7;3.43;0.9934;10.2;0.11;0.24;0.35;0.18
7.4;153;0.55;7.8;0.045;27;7;3.19;0.9964;9;0.25;0.29;0.43;0.2
8;129;0.54;1.5;0.047;17;6;3.2;0.9948;10;0.14;0.21;0.36;0.24
6.4;140;0.47;9.7;0.044;30;6;3.18;0.9962;9.1;0.14;0.45;0.42;0.26
5.4;144;0.76;3;0.053;46;5;3.29;0.9931;10;0.25;0.96;0.47;0.31
5.4;145;0.75;3;0.052;47;6;3.29;0.993;10;0.14;0.05;0.47;0.29
7.1;131;0.4;4.6;0.05;33;6;3.28;0.9942;9.6;0.25;0.65;0.33;0.145
5.6;68;0.51;1.3;0.031;20;7;3.36;0.9906;11.2;0.14;0.13;0.1;0.34
6.7;155;0.44;15.6;0.056;75;6;3.2;0.9995;8.8;0.33;0.76;0.41;0.19
7.8;118;0.5;13.6;0.052;38;6;3.15;0.998;10;0.13;0.70;0.46;0.18
7.6;137;0.47;11.2;0.054;56;5;3.15;0.997;10;0.17;0.80;0.45;0.17
6.3;146;0.74;2.1;0.044;47;7;3.27;0.9914;11.4;0.33;0.28;0.36;0.12
7.3;138;0.3;6.85;0.038;32;7;3.03;0.992;11.9;1.00;0.94;0.4;0.33
5.5;128;0.51;2.5;0.071;27;6;3.14;0.9924;9.6;0.17;0.59;0.3;0.335
7.3;138;0.3;6.85;0.038;32;7;3.03;0.992;11.9;0.33;0.93;0.4;0.33
5.8;245;0.57;4.4;0.047;38.5;6;3.25;0.9937;9.6;0.13;0.60;0.42;0.4
7.3;191;0.38;14.3;0.063;48;6;2.89;0.9978;9;0.50;0.98;0.37;0.22
7.3;191;0.38;14.3;0.063;48;6;2.89;0.9978;9;0.17;0.34;0.37;0.22
6.1;169;0.78;1.1;0.05;24;6;3.15;0.9927;9.5;0.25;0.44;0.33;0.36
10;152;0.42;1.4;0.05;19;6;3;0.994;10.4;0.25;0.99;0.39;0.2
6.9;161;0.59;4.7;0.04;43;6;3.2;0.9935;10.6;0.14;0.57;0.34;0.24
6.4;162;0.5;14.9;0.047;54;6;3.28;0.9968;10.2;0.50;0.49;0.32;0.24
7.1;84;0.43;1.2;0.055;24;5;3.15;0.9941;8.9;0.33;0.00;0.14;0.365
6.8;127;0.39;5.3;0.05;40;6;3.4;0.9942;9.7;1.00;0.95;0.3;0.15
7.3;191;0.38;14.3;0.063;48;6;2.89;0.9978;9;0.25;0.24;0.37;0.22
6.8;102;0.42;2.3;0.037;18;7;3.49;0.9923;11.4;0.50;0.01;0.4;0.16
6;113;0.71;3.5;0.028;29;7;3.4;0.9912;12.3;0.13;0.45;0.32;0.26
6;143;0.62;1.5;0.089;40;6;3.49;0.9923;10.8;0.33;0.61;0.27;0.18
6.9;148;0.45;1;0.053;39;6;3.12;0.9927;9.4;0.10;0.61;0.21;0.33
7.7;178;0.64;2.3;0.049;36;6;3.17;0.9931;10.6;0.25;0.68;0.48;0.29
7.1;72;0.29;12.5;0.044;26;5;3.17;0.9941;11.6;1.00;0.47;0.35;0.39
6.9;148;0.45;1;0.053;39;6;3.12;0.9927;9.4;0.11;0.43;0.21;0.33
7.7;178;0.64;2.3;0.049;36;6;3.17;0.9931;10.6;0.14;0.14;0.48;0.29
6.6;204;0.56;0.8;0.048;17;5;3.34;0.9934;10;0.11;0.04;0.19;0.905
7.2;149;0.51;2.4;0.048;30;6;3.1;0.9936;9.2;0.17;0.36;0.27;0.27
5.1;89;0.38;1.6;0.027;18;7;3.51;0.9893;12.5;0.50;0.02;0.22;0.33
5.1;89;0.38;1.6;0.027;18;7;3.51;0.9893;12.5;0.10;0.10;0.22;0.33
6.4;119;0.51;1.5;0.037;12;7;3.32;0.9919;10.4;0.14;0.07;0.28;0.31
7.3;98;0.46;1.4;0.045;21;7;3.15;0.9924;10;0.50;0.97;0.44;0.2
5.7;155;0.64;2.6;0.049;17;6;3.22;0.9927;10;0.20;0.61;0.5;0.32
6.4;119;0.51;1.5;0.037;12;7;3.32;0.9919;10.4;0.33;0.56;0.28;0.31
7.3;98;0.46;1.4;0.045;21;7;3.15;0.9924;10;0.10;0.88;0.44;0.2
7.2;179;0.52;12.5;0.046;48;6;3.1;0.9975;9;0.20;0.17;0.26;0.28
7.5;157;0.53;9.6;0.051;26;6;3.12;0.9969;9.2;0.13;0.54;0.28;0.35
7.2;149;0.51;2.4;0.048;30;6;3.1;0.9936;9.2;0.14;0.94;0.27;0.27
6;125;0.39;3.2;0.027;20;7;3.38;0.991;11.3;0.11;0.76;0.39;0.36
5.1;89;0.38;1.6;0.027;18;7;3.51;0.9893;12.5;0.50;0.35;0.22;0.33
5;115;0.39;1.5;0.026;24;7;3.48;0.9906;10.8;0.11;0.06;0.56;0.17
6.3;260;0.66;5.9;0.04;82.5;5;3.12;0.9941;10.1;0.50;0.20;0.35;0.39
6.7;140;0.46;5.4;0.047;29;6;3.39;0.995;9.7;0.33;0.77;0.32;0.21
7;181;0.61;14.9;0.032;60;7;3.18;0.9983;9.3;0.10;0.51;0.38;0.3
7;181;0.61;14.9;0.032;60;7;3.18;0.9983;9.3;0.25;0.58;0.38;0.3
6.5;66;0.46;1.1;0.031;13;5;3.1;0.9916;10.6;0.11;0.10;0.32;0.36
6.1;125;0.47;9.8;0.031;19;6;3.36;0.9957;10.2;0.25;0.01;0.15;0.55
7.3;69;0.56;2;0.021;20;6;3.08;0.99;12.2;0.17;0.88;0.43;0.24
6.8;163;0.44;11.8;0.044;62;5;3.19;0.9976;8.8;0.10;0.40;0.51;0.37
6.8;168;0.41;1.3;0.04;87;5;3.18;0.992;10;0.14;0.79;0.12;0.27
8.2;93;0.39;1.8;0.031;30;5;3.09;0.9917;11.4;1.00;0.79;0.42;0.28
6.3;107;0.5;1.5;0.037;35;6;3.46;0.9917;11.4;0.10;0.98;0.4;0.2
5.9;168;0.44;18.2;0.048;52;5;3.35;0.9993;9.4;0.11;0.04;0.27;0.26
6.4;83;0.41;2.9;0.032;32;6;3.3;0.9908;11.7;1.00;0.51;0.42;0.19
6.3;107;0.5;1.5;0.037;35;6;3.46;0.9917;11.4;0.13;0.38;0.4;0.2
6.8;163;0.44;11.8;0.044;62;5;3.19;0.9976;8.8;0.33;0.76;0.51;0.37
6.1;108;0.52;1.4;0.069;22;5;3.23;0.9934;9.2;0.13;0.60;0.07;0.35
7.1;252;0.56;18.2;0.046;55;5;3.07;1;8.7;0.13;0.68;0.31;0.27
6.8;170;0.66;6.3;0.035;33;6;3.24;0.9918;12.6;1.00;0.20;0.31;0.22
6.8;168;0.41;1.3;0.04;87;5;3.18;0.992;10;0.13;0.07;0.12;0.27
5.8;99;0.39;4;0.031;40;7;3.39;0.9896;12.8;0.14;0.38;0.34;0.28
6.9;125;0.51;1.2;0.049;13;5;3.17;0.9932;9.4;0.14;0.42;0.24;0.49
6.3;116;0.53;1.2;0.044;26;6;3.26;0.992;10.3;0.14;0.65;0.39;0.14
8.2;93;0.39;1.8;0.031;30;5;3.09;0.9917;11.4;0.13;0.84;0.42;0.28
7.2;155;0.47;18.95;0.038;42;6;2.97;0.9999;9;0.14;0.56;0.39;0.25
7.3;140;0.79;12.7;0.04;38;6;3.3;0.998;9.6;0.50;0.78;0.36;0.28
7.2;85;0.5;1.2;0.036;32;5;3.16;0.9918;10.5;0.33;0.88;0.39;0.19
7.2;85;0.5;1.2;0.036;32;5;3.16;0.9918;10.5;0.25;0.37;0.39;0.19
7.2;155;0.47;18.95;0.038;42;6;2.97;0.9999;9;0.10;0.89;0.39;0.25
7.3;140;0.79;12.7;0.04;38;6;3.3;0.998;9.6;1.00;0.38;0.36;0.28
7.4;99;0.33;1.2;0.041;27;6;3.19;0.9927;9.8;0.17;0.53;0.27;0.21
6.8;210;0.47;7.7;0.047;57;5;3.1;0.9959;9;0.50;0.80;0.22;0.26
7.4;99;0.33;1.2;0.041;27;6;3.19;0.9927;9.8;0.13;0.02;0.27;0.21
7.4;137;0.56;1.6;0.05;33;6;3.31;0.9929;10.5;0.17;0.40;0.28;0.31
7;136;0.37;2.7;0.03;41;7;3.16;0.9898;12.7;0.11;0.78;0.31;0.22
7;222;0.54;8.7;0.045;37;6;3.25;0.9954;10.4;0.25;0.71;0.28;0.21
7;221;0.54;8.6;0.045;37;6;3.25;0.9954;10.4;0.11;0.77;0.28;0.21
7;221;0.54;8.6;0.045;37;6;3.25;0.9954;10.4;0.10;0.12;0.28;0.21
6.9;162;0.52;8.3;0.047;47;7;3.34;0.9954;10.5;0.50;0.30;0.38;0.23
7;222;0.54;8.7;0.045;37;6;3.25;0.9954;10.4;0.50;0.41;0.28;0.21
7;221;0.54;8.6;0.045;37;6;3.25;0.9954;10.4;0.13;0.01;0.28;0.21
6.8;194;0.45;13.3;0.053;48;5;3.09;0.9974;9.4;0.10;0.56;0.5;0.29
7.8;89;0.46;1.2;0.051;20;5;3.06;0.9936;9.1;0.11;0.72;0.27;0.21
7.1;197;0.49;13.6;0.056;54;5;3.1;0.9978;9.3;0.20;0.82;0.47;0.31
6.8;194;0.45;13.3;0.053;48;5;3.09;0.9974;9.4;1.00;0.76;0.5;0.29
6.4;84;0.38;1.1;0.048;19;5;3.21;0.9927;9.8;0.17;0.69;0.1;0.34
7.4;214;0.61;2.3;0.045;73.5;7;3.18;0.9934;9.9;0.50;0.35;0.34;0.155
7.2;151;0.57;1.5;0.108;16;4;3.07;0.9938;9.2;0.33;0.41;0.09;0.55
7;104;0.47;7.1;0.028;31;8;3.35;0.9922;12.1;0.33;0.28;0.36;0.23
6.9;97;0.49;6.2;0.027;24;7;3.38;0.992;12.2;0.17;0.60;0.37;0.2
6.1;218.5;0.6;2.5;0.042;23;5;3.27;0.9935;9.8;0.50;1.00;0.32;0.28
6.6;186;0.64;1.4;0.035;49;8;3.35;0.9906;12.4;0.33;0.03;0.32;0.16
7.4;214;0.61;2.3;0.045;73.5;7;3.18;0.9934;9.9;0.13;0.39;0.34;0.155
6.2;108;0.54;1.2;0.06;23;5;3.26;0.9934;9.2;0.13;0.97;0.04;0.35
6.7;102;0.59;1.6;0.028;24;7;3.29;0.9913;11.6;1.00;0.65;0.37;0.22
6.1;137;0.69;6.6;0.033;25;6;3.3;0.9938;10.4;0.11;0.52;0.2;0.38
6;126;0.65;2.2;0.026;54;8;3.43;0.9898;12.9;0.10;0.37;0.28;0.25
6.6;245;0.54;12.2;0.048;54;6;3.26;0.9975;9.3;0.33;0.52;0.44;0.52
6.9;139;0.33;20.8;0.031;40;6;3.2;0.9975;11;1.00;0.85;0.36;0.24
7.1;66;0.4;11;0.038;16;3;3.24;0.9937;11.5;0.20;0.49;0.32;0.32
5.8;156;0.42;2.6;0.054;30;5;3.53;0.9914;12.4;0.20;0.08;0.27;0.28
6.5;113;0.53;14;0.048;24;6;3.44;0.9982;9.8;1.00;0.52;0.24;0.41
6.5;113;0.53;14;0.048;24;6;3.44;0.9982;9.8;0.10;0.95;0.24;0.41
6.4;127;0.56;1.6;0.052;34;7;3.48;0.9929;10.5;0.50;0.95;0.29;0.28
7.2;174;0.54;9.9;0.07;21;5;3.03;0.9971;9.1;0.10;0.68;0.2;0.6
6.1;128;0.44;1.2;0.038;34;5;3.24;0.9921;10.1;1.00;0.66;0.25;0.2
5.9;160;0.51;2.7;0.042;27;7;3.46;0.9931;10.6;1.00;0.31;0.14;0.46
6;113;0.51;1.6;0.046;32;7;3.41;0.9924;10.5;0.13;0.40;0.27;0.27
6.4;127;0.56;1.6;0.052;34;7;3.48;0.9929;10.5;0.17;0.09;0.29;0.28
6.4;113;0.53;14;0.048;24;6;3.44;0.9982;9.8;0.13;0.25;0.24;0.41
6.3;82;0.4;1.5;0.022;11;7;3.3;0.9892;12.9;0.33;0.37;0.31;0.23
7.1;111;0.52;8.6;0.056;26;5;2.95;0.9956;9.5;0.20;0.71;0.27;0.21
6;218.5;0.72;1;0.053;31;6;3.29;0.9924;9.8;0.25;0.07;0.32;0.37
6.1;249;0.5;9.1;0.059;83;5;3.37;0.9971;8.5;0.33;0.51;0.35;0.43
7.1;111;0.52;8.6;0.056;26;5;2.95;0.9956;9.5;0.17;0.75;0.27;0.21
7;171;0.45;15.2;0.047;40;5;3.22;0.9982;9.3;0.13;0.32;0.29;0.25
5.9;162;0.38;12.4;0.047;50;5;3.35;0.9973;9.5;0.33;0.54;0.19;0.25
6.8;68;0.39;2.2;0.044;15;6;3.17;0.9932;9.4;0.14;0.41;0.21;0.32
7.2;178;0.5;11;0.047;66;5;3.16;0.9976;8.7;0.33;0.94;0.62;0.39
6.3;126;0.46;10;0.081;34;5;2.95;0.9962;8.9;0.11;0.44;0.58;0.21
7;141;0.43;9;0.039;54;6;3.22;0.9956;9.4;0.11;0.63;0.32;0.14
6.8;68;0.39;2.2;0.044;15;6;3.17;0.9932;9.4;0.13;0.43;0.21;0.32
7.2;178;0.5;11;0.047;66;5;3.16;0.9976;8.7;0.20;0.16;0.62;0.39
7.2;182;0.52;18.15;0.047;59;5;3.09;0.9992;9.6;0.50;0.51;0.53;0.29
8.6;158;0.73;12.15;0.039;21;6;3;0.9983;9.3;0.20;0.42;0.7;0.37
6.5;200;0.76;3.4;0.036;34;5;3.14;0.9937;10;0.13;0.19;0.34;0.38
6.6;86;0.45;2;0.023;19;6;3.25;0.99;12.5;0.17;0.33;0.29;0.24
7;132;0.48;4.8;0.034;34;7;3.36;0.9944;9.6;0.13;0.74;0.31;0.17
5.5;102;0.36;4.5;0.03;30;6;3.24;0.9938;9.4;0.50;0.69;0.22;0.16
7;227;0.61;11;0.029;55;5;3.03;0.9965;9.5;0.10;0.45;0.51;0.24
7.4;105;0.39;1.1;0.028;42;7;2.99;0.9893;12.4;0.33;0.44;0.36;0.28
7;115;0.55;1.5;0.037;29;6;3.11;0.9927;10.5;0.17;0.78;0.28;0.22
7.1;165;0.58;1.7;0.073;21;6;2.97;0.994;9.2;0.20;0.83;0.13;0.55
6.3;164;0.56;1.7;0.041;67;6;3.32;0.9928;10.4;0.25;0.38;0.33;0.22
6.7;172;0.6;8.9;0.043;31;5;3.22;0.9964;9.2;0.20;0.99;0.34;0.47
5.9;104;0.51;1.3;0.047;45;6;3.33;0.9917;10.6;0.11;0.40;0.41;0.36
5.8;137;0.42;13.3;0.044;41;5;3.34;0.9972;9.5;0.13;0.26;0.24;0.25
6.7;172;0.6;8.9;0.043;31;5;3.22;0.9964;9.2;0.50;0.38;0.34;0.47
6.2;200;0.58;6.6;0.346;79;5;3.29;0.9954;9.6;0.13;0.94;0.3;0.37
6.2;117;0.54;1.5;0.028;36;6;3.47;0.993;9.7;0.25;0.88;0.38;0.18
6;117;0.51;1.5;0.025;43;6;3.46;0.9928;9.7;0.13;0.46;0.37;0.16
6.6;90;0.42;1.3;0.035;32;6;3.1;0.9916;10.7;0.11;0.76;0.28;0.34
7.4;180;0.68;1.6;0.045;53;6;3.34;0.9936;10.5;0.33;0.77;0.29;0.29
7.4;177;0.45;7.6;0.047;52;6;3.13;0.9962;8.9;0.25;0.89;0.31;0.26
7;70;0.46;1;0.035;8;6;3.09;0.9899;12.1;0.20;0.50;0.36;0.28
7.1;65;0.4;1.6;0.032;12;7;3.25;0.9898;12.7;0.17;0.96;0.39;0.23
7.8;182;0.46;8.9;0.039;42;6;3.18;0.996;9.9;0.25;0.72;0.26;0.19
6.3;158;0.64;1.8;0.022;28;6;3.2;0.9907;11.4;0.14;0.18;0.28;0.19
6.8;103;0.58;4.7;0.04;27;6;3.37;0.994;10.7;0.10;0.37;0.38;0.2
5.7;173;0.48;7;0.025;28;6;3.33;0.9913;12.5;1.00;0.89;0.13;0.44
7.2;189;0.49;10.8;0.041;70;4;3.08;0.9976;8.6;0.11;0.25;0.62;0.4
6.8;147;0.54;1.6;0.026;43;6;3.29;0.9904;12.5;1.00;0.23;0.32;0.23
5.7;174;0.66;1;0.04;13;5;3.27;0.992;10;0.25;0.98;0.34;0.335
7.2;189;0.49;10.8;0.041;70;4;3.08;0.9976;8.6;0.17;0.56;0.62;0.4
7.2;200;0.49;16.7;0.045;54;6;3.08;0.999;9.5;0.33;0.07;0.54;0.28
6.8;164;0.48;14.2;0.038;51;6;3.12;0.9975;9.6;0.10;0.46;0.58;0.19
6.4;210;0.62;2.25;0.038;8;6;3.2;0.9937;9.9;0.11;0.10;0.3;0.3
6.5;210;0.62;2.25;0.037;8;5;3.19;0.9937;9.9;0.17;0.10;0.29;0.3
7.8;140;0.53;12.2;0.053;46;6;3.06;0.998;8.9;0.17;0.06;0.31;0.18
7.8;140;0.53;12.2;0.053;46;6;3.06;0.998;8.9;1.00;0.13;0.31;0.18
7.3;135;0.52;3.3;0.09;7;5;3.01;0.9944;8.8;0.50;0.36;0.26;0.51
6;170;0.54;1.9;0.048;40;7;3.64;0.9938;10;0.17;0.02;0.27;0.24
5.9;152;0.44;3.5;0.039;55;6;3.44;0.9907;12;0.25;0.63;0.28;0.62
6;170;0.54;1.9;0.048;40;7;3.64;0.9938;10;0.25;0.34;0.27;0.24
6.7;138;0.42;1.3;0.041;62;6;3.21;0.9921;10;0.25;0.04;0.12;0.27
7.8;167;0.41;1.8;0.042;8;6;3.11;0.9908;12.1;0.13;0.99;0.35;0.34
7.3;141;0.59;5.2;0.04;31;6;3.16;0.9931;11;0.33;0.75;0.36;0.26
7.4;55;0.33;1.4;0.025;27;6;3.21;0.9915;11.2;0.20;0.19;0.33;0.36
7.8;115;0.39;9;0.036;34;7;3.17;0.9952;10.3;0.25;0.68;0.32;0.28
6.1;167;0.47;2.2;0.051;28;6;3.37;0.9926;10.4;0.25;0.89;0.26;0.31
6.8;154;0.45;1.6;0.055;47;5;3.08;0.9934;9.1;0.25;0.54;0.37;0.18
7.4;154;0.6;1.7;0.045;49;6;3;0.992;10.4;0.17;0.69;0.42;0.15
5.9;78;0.64;1.9;0.05;20;6;3.43;0.9918;10.8;0.10;0.60;0.28;0.13
7.2;41;0.4;12.6;0.048;7;5;3.19;0.9942;11.7;0.14;0.55;0.34;0.34
7.9;143;0.74;2.1;0.039;8;5;3.05;0.9942;9.8;0.17;0.77;0.26;0.19
7.9;143;0.74;2.1;0.039;8;5;3.05;0.9942;9.8;0.10;0.49;0.26;0.19
6.9;101;0.39;1.3;0.038;22;6;3.03;0.9901;11.4;0.25;0.51;0.4;0.25
5.8;96;0.38;1.7;0.033;22;6;3.03;0.9898;11.2;0.10;0.29;0.32;0.36
5.6;72;0.34;1;0.038;6;5;3.37;0.9902;11.4;0.11;0.59;0.37;0.35
5.9;140;0.45;3.3;0.114;24;6;3.09;0.9934;9.2;0.17;0.07;0.39;0.32
7.2;29;0.53;5;0.04;3;4;3.04;0.9906;12.5;0.13;0.17;0.46;0.31
6.1;116;0.44;1.8;0.034;32;6;3.36;0.9898;12.6;0.25;0.25;0.22;0.28
5.2;104;0.35;1.6;0.031;24;6;3.44;0.9896;12.2;0.10;0.47;0.02;0.36
5.6;112;0.45;4.5;0.03;19;6;3.56;0.9922;11.2;0.13;0.50;0.47;0.19
6.4;103;0.79;4.9;0.048;31;6;3.43;0.9947;9.7;0.33;0.74;0.35;0.1
6.4;150;0.4;4;0.186;64;5;3.06;0.9945;9.3;0.17;0.01;0.48;0.18
7.4;178;0.48;13.2;0.067;53;6;3.01;0.9976;9;0.10;0.64;0.36;0.25
7.4;178;0.48;13.2;0.067;53;6;3.01;0.9976;9;0.13;0.64;0.36;0.25
7.4;178;0.48;13.2;0.067;53;6;3.01;0.9976;9;0.14;0.16;0.36;0.25
7.9;171;0.51;15.3;0.047;54;5;3.09;0.9987;9.1;1.00;0.68;0.51;0.345
7.9;171;0.51;15.3;0.047;54;5;3.09;0.9987;9.1;0.17;0.60;0.51;0.345
7.4;178;0.48;13.2;0.067;53;6;3.01;0.9976;9;0.11;0.49;0.36;0.25
6.1;61;0.54;1.5;0.045;22;5;3.31;0.992;10.4;0.17;0.39;0.3;0.24
6.8;211;0.67;4.55;0.053;41;6;3.37;0.9955;9.5;0.20;0.26;0.24;0.25
6.7;175;0.55;9.9;0.04;10;4;3.46;0.9953;11.4;0.11;0.03;0.31;0.31
7.2;192;0.42;10.4;0.05;76;5;3.16;0.9976;8.7;0.10;0.06;0.65;0.46
5.5;167;0.68;1.1;0.045;14;6;3.34;0.992;9.9;0.14;0.49;0.35;0.35
6.7;148;0.62;8.7;0.036;29;6;3.22;0.9952;9.9;1.00;0.76;0.41;0.24
6.8;162;0.51;13.9;0.047;49;6;3.21;0.9983;9;1.00;0.38;0.17;0.28
6.4;149;0.58;1.4;0.04;41;6;3.49;0.9933;10;1.00;0.28;0.22;0.16
6.3;172;0.64;7.2;0.039;38;6;3.49;0.9958;9.7;0.11;0.33;0.24;0.26
7.7;87;0.49;1.9;0.052;10;6;3.3;0.9922;11.8;1.00;0.09;0.42;0.22
6.5;127;0.5;1.7;0.044;30;7;3.49;0.9928;10.2;0.13;0.53;0.31;0.18
7.2;192;0.42;10.4;0.05;76;5;3.16;0.9976;8.7;0.10;0.62;0.65;0.46
7;168;0.52;13.6;0.05;40;7;3.07;0.9976;9.6;0.13;0.45;0.51;0.3
9.2;93;0.37;1.2;0.026;31;7;2.93;0.9916;11.3;0.33;0.84;0.34;0.25
7.8;118;0.38;1.6;0.028;32;7;3;0.9901;12.1;0.20;0.51;0.34;0.28
7;168;0.52;13.6;0.05;40;7;3.07;0.9976;9.6;0.50;0.19;0.51;0.3
7.8;118;0.38;1.6;0.028;32;7;3;0.9901;12.1;0.14;0.89;0.34;0.28
